Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,http://127.0.0.1:8000/en-gb/basket/add/209/,32,4,18000,16388.25,5496,23070,85630.0,0.10462565864689753,0.013078207330862191,18000,19000,20000,20000,21000,22000,23000,23000,23000,23000,23000
GET,http://127.0.0.1:8000/en-gb/catalogue/,59,0,13000,13205.881355932202,3937,17914,62820.254237288136,0.1929035581302173,0.0,13000,14000,15000,15000,17000,18000,18000,18000,18000,18000,18000
GET,http://127.0.0.1:8000/en-gb/checkout/,24,0,6800,6855.583333333333,4771,8554,21167.666666666668,0.07846924398517315,0.0,6800,7400,7700,7800,8000,8300,8600,8600,8600,8600,8600
POST,http://127.0.0.1:8000/en-gb/checkout/,24,0,6600,6616.125,4844,8484,21165.958333333332,0.07846924398517315,0.0,6800,6900,7200,7700,7800,8200,8500,8500,8500,8500,8500
GET,http://127.0.0.1:8000/en-gb/checkout/payment-details/,20,0,8800,8848.9,7041,10397,21167.0,0.06539103665431095,0.0,9000,9200,9300,9500,10000,10000,10000,10000,10000,10000,10000
GET,http://127.0.0.1:8000/en-gb/checkout/payment-method/,20,0,9000,8815.75,7444,10729,21163.2,0.06539103665431095,0.0,9100,9300,9600,9600,10000,11000,11000,11000,11000,11000,11000
GET,http://127.0.0.1:8000/en-gb/checkout/preview/,20,0,6600,6439.75,5294,7220,21168.05,0.06539103665431095,0.0,6600,6700,7000,7100,7100,7200,7200,7200,7200,7200,7200
POST,http://127.0.0.1:8000/en-gb/checkout/preview/,20,0,6500,6559.2,5258,8271,21165.05,0.06539103665431095,0.0,6600,7000,7200,7300,7900,8300,8300,8300,8300,8300,8300
GET,http://127.0.0.1:8000/en-gb/checkout/shipping-address/,22,0,9300,9470.545454545454,6659,12546,21160.772727272728,0.07193014031974204,0.0,9500,10000,11000,11000,12000,12000,13000,13000,13000,13000,13000
POST,http://127.0.0.1:8000/en-gb/checkout/shipping-address/,22,0,8500,9023.5,7372,11544,21162.590909090908,0.07193014031974204,0.0,8900,9500,9700,10000,11000,11000,12000,12000,12000,12000,12000
GET,http://127.0.0.1:8000/en-gb/checkout/shipping-method/,21,0,6400,6185.619047619048,4751,7481,21161.619047619046,0.0686605884870265,0.0,6400,6500,6800,6800,7200,7400,7500,7500,7500,7500,7500
GET,http://127.0.0.1:8000/en-gb/checkout/thank-you/,20,0,4300,4311.7,3312,5376,19829.5,0.06539103665431095,0.0,4400,4700,4800,4900,5200,5400,5400,5400,5400,5400,5400
GET,http://127.0.0.1:8000/static/oscar/favicon.ico,33,0,98,101.0,24,255,1150.0,0.10789521047961308,0.0,98,120,130,130,180,200,260,260,260,260,260
,Aggregated,337,4,7600,8505.92878338279,24,23070,32539.691394658752,1.1018389676251397,0.013078207330862191,7600,9200,11000,13000,17000,18000,20000,21000,23000,23000,23000
